user_id,email,phone,age,clicks,session_time_sec,purchase_amount,SalesTime
1,alice@mail.com,9876543210,25,100,300,250.5,1714567890
2,bob@gmail.com,9988776655,34,120,450,0.0,1715567890
3,charlie@mail.com,9876501234,45,980,8500,5200.0,1716567890
4,david@outlook.com,9999911111,29,15,90,75.0,1717567890
5,eve@gmail.com,,32,50,360,150.0,1718567890
6,frank@mail.com,8888888888,17,1050,11000,50.0,1719567890
7,george@yahoo.com,7777777777,22,500,3000,1200.0,1720567890
8,helen@abc.com,6666666666,56,0,0,0.0,1721567890
9,ian@mail.com,5555555555,120,250,4500,300.0,1722567890
10,jessica@gmail.com,4444444444,33,600,7200,2000.0,1723567890
11,kevin@mail.com,3333333333,0,30,120,80.0,1724567890
12,laura@gmail,2222222222,27,400,500,200.0,1725567890
13,mike@mail.com,1111111111,130,50,800,100.0,1726567890
14,nancy@gmail.com,9990001111,38,0,0,600.0,1727567890
15,oscar@xyz.com,9988001122,41,90,300,250.0,1728567890
16,paul@mail.com,8877665544,36,1100,9500,4800.0,1729567890
17,quinn@mail.com,7766554433,27,70,240,120.0,1730567890
18,rachel@outlook.com,6655443322,25,0,0,0.0,1731567890
19,steve@gmail.com,5544332211,31,900,7800,3000.0,1732567890
20,tina@mail.com,4433221100,40,800,7200,2800.0,1733567890
21,uma@gmail.com,3322110099,26,0,0,200.0,1734567890
22,victor@mail.com,2211009988,23,1200,10500,100.0,1735567890
23,wendy@mail.com,1100998877,19,340,600,450.0,1736567890
24,xavier@mail.com,9099887766,44,0,0,0.0,1737567890
25,yolanda@gmail.com,8088776655,55,130,390,900.0,1738567890


